title,jobId,currency,jobUploaded,companyName,tagsAndSkills,experience,salary,location,companyId,ReviewsCount,AggregateRating,jobDescription,minimumSalary,maximumSalary,minimumExperience,maximumExperience
Zonal Manager - Affordable Housing,260925918114,INR,7 Days Ago,Bajaj Finance,"Sales,Databases,Development,Talent Management,Data,Management,Due Diligence,Operations",14-15 Yrs,Not disclosed,Pune,122,8015.0,3.9,"Required Qualifications and Experience <br><br>Work Experience<br><br>Relevant Experience of 14-15 Years,out of which 5-6 year of experience in LAP / Secured Loans",0.0,0.0,14.0,15.0
Management trainee collections,280825011954,INR,8 Days Ago,Genpact,"joining formalities,accounts receivable,orientation,accounts payable,hr generalist activities,sap,employee relations,gts",3-7 Yrs,Not disclosed,Jaipur,30975,38095.0,3.7,"<p><strong>Ready to shape the future of work? </strong></p><p><strong>
</strong>At Genpact, we don’t just adapt to change—we drive it. AI and digital innovation are redefining industries, and we’re leading the charge. Genpact’s AI Gigafactory, our industry-first accelerator, is an example of how we’re scaling advanced technology solutions to help global enterprises work smarter, grow faster, and transform at scale. From large-scale models to agentic AI, our breakthrough solutions tackle companies’ most complex challenges. </p><p>If you thrive in a fast-moving, tech-driven environment, love solving real-world problems, and want to be part of a team that’s shaping the future, this is your moment. </p><p>Genpact (NYSE: G) is anadvanced technology services and solutions company that deliverslastingvalue for leading enterprisesglobally.Through ourdeep business knowledge, operational excellence, and cutting-edge solutions – we help companies across industries get ahead and stay ahead.Powered by curiosity, courage, and innovation,our teamsimplementdata, technology, and AItocreate tomorrow, today.</p><p><strong>We are inviting applications for the role of MT, Collections! </strong></p><p>
In this role, you will be responsible to perform day-to-day operations while maintaining SLA. Solving queries related to cash application and coordinating with customer. The individual must be an active contributor towards the overall objective of the project. We are looking for some who should be open to work in any shift as per the business requirement.</p><p>
<strong>Responsibilities</strong></p><p><strong>
</strong>•    Collection on past due invoices & invalid deductions on allocated portfolios via Email, phone calls etc.
•    Respond to email /phone queries on disputed invoice
•    Research and analyze the disputes/deductions in ERP
•    Follow-up with various departments to get supporting documents/ info for dispute/deductions resolution
•    Find opportunities and recommend solutions for process and automation improvements
•    Daily reporting of individual portfolios to supervise and supervise the past dues
•    Implement collections strategy to reduce the past due Research and resolve issues in a manner to expedite all cases in order to avoid any adverse customer impact
•    Work as a standout colleague to process any ADHOC request in a timely manner.
•    Deliver quality customer service by researching and responding to all internal & external partners inquiries quickly, effectively and professionally.
•    Raise problems to senior staff members and or management as appropriate.</p><p>
<strong>Qualifications</strong>
Minimum qualifications
•    Any Graduate
•    Proven experience
•    Strong Communication Skills (verbal and written)
•    Knowledge of SAP</p><p>
<strong>Preferred qualifications </strong></p><p><strong>
</strong>•    Good customer handling skills
•    High Energy level</p><p>
<strong>Why join Genpact? </strong></p><p><strong>
</strong>• Be a transformation leader – Work at the cutting edge of AI, automation, and digital innovation  
• Make an impact – Drive change for global enterprises and solve business challenges that matter 
• Accelerate your career — Get hands-on experience, mentorship, and continuous learning opportunities  
• Work with the best – Join 140,000+ bold thinkers and problem-solvers who push boundaries every day  
• Thrive in a values-driven culture – Our courage, curiosity, and incisiveness - built on a foundation of integrity and inclusion - allow your ideas to fuel progress </p><p> 
Come join the tech shapers and growth makers at Genpact and take your career in the only direction that matters: Up. 
Let’s build tomorrow together.</p><p>Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values respect and integrity, customer focus, and innovation.
Furthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.</p>",0.0,0.0,3.0,7.0
Senior C # Developer,300925029858,INR,3 Days Ago,Katapie Consulting Services,"C Hash,Motion Control,Opencv,Image Processing,Python,Messaging Systems,GUI,Motion",6-9 Yrs,20-30 Lacs PA,Remote,125133963,,,"Requires expertise in C# & Python , handling motion control, image processing, and hardware. Must manage actor-based frameworks, GUI (SciChart), and real-time system integration. Requires to coordinate with customer.",2000000.0,3000000.0,6.0,9.0
Machine Shop Electrical Maintenance,240925506188,INR,9 Days Ago,Happy Forging,"Electrical drawing,Air compressor,Basic,PLC,Programming,Siemens,Machine shop,Electrical maintenance",4-7 Yrs,Not disclosed,Ludhiana,124534690,136.0,3.7,"<li> <span> <i> </i> </span> <span> Troubleshooting on HMC, VMC, CNC (Fanuc/ Siemens/ Rexroth) </span> </li> <li> <span> <i> </i> </span> <span> Electrical Drawing/ Circuit basic knowledge </span> </li> <li> <span> <i> </i> </span> <span> PLC Modification and programming </span> </li> <li> <span> <i> </i> </span> <span> Preventive Maintenance </span> </li> <li> <span> <i> </i> </span> <span> Air compressor and dryers </span> </li> <li> <span> <i> </i> </span> <span> Repair work of scales, scanners and equipments </span> </li> <ul> </ul> <div> </div> <div> </div> <div> </div> <div> </div> <div> </div>",0.0,0.0,4.0,7.0
Store Manager,300925030778,INR,2 Days Ago,Suvidha Placements,"Stores,Store Operations,consumable,Inventory Management,Steel and iron plant,Steel,Plant,Store management",12-16 Yrs,5-7 Lacs PA,"Barjora, Durgapur",85003,,,"Managing stores of consumable and store items of steel company
Under stand the need of plan and mange the inventory 
Manage team of store executive 

Connect to 9830733383 , send cv to profile@suvidhajobs.inPrior experience of stores of steel company at managerial level
Should know different store items of plant like machanical and electrical
Computer knowledge",500000.0,700000.0,12.0,16.0
IT Service Management Representative,31025913792,INR,Just Now,Accenture,"service management,itil framework,infrastructure management services,incident management,itil,operational support,project management,it services",1-3 Yrs,Not disclosed,Pune,27117,66726.0,3.7,"<br /> <br /><br /><b>Project Role :</b>IT Service Management Representative<br /><br /><b>Project Role Description :</b>Manage delivery for IT production systems and services. Support the infrastructure service management lifecycle, ensuring client satisfaction and management of risk to services. Provide operational support, ensuring production systems and devices are online and available.<br /><br /><b>Must have skills :</b>Infrastructure Service Management<br /><br /><b>Good to have skills :</b>NAMinimum<br /><br /><b>5</b> year(s) of experience is required<br /><br /><b>Educational Qualification :</b>15 years full time education<br /><br /><b>Summary</b>:As an IT Service Management Representative, you will manage the delivery of IT production systems and services. A typical day involves overseeing the infrastructure service management lifecycle, ensuring that client satisfaction is prioritized while effectively managing risks associated with services. You will provide operational support to guarantee that production systems and devices remain online and available, contributing to the overall efficiency and reliability of IT services. Roles & Responsibilities:- Expected to be an SME.- Collaborate and manage the team to perform.- Responsible for team decisions.- Engage with multiple teams and contribute on key decisions.- Provide solutions to problems for their immediate team and across multiple teams.- Facilitate training and knowledge sharing sessions to enhance team capabilities.- Monitor service performance metrics and implement improvements as necessary. Professional & Technical <br /><br /><b>Skills:</b><li>- <br /><br />Must To Have <br /><br /><b>Skills:</b></li><li>Proficiency in Infrastructure Service Management.- Strong understanding of ITIL framework and best practices.- Experience with incident management and problem resolution processes.- Familiarity with service level agreements and performance metrics.- Ability to utilize monitoring tools for system performance analysis. <br /><br />Additional Information:- The candidate should have minimum 5 years of experience in Infrastructure Service Management.- This position is based at our Pune office.- A 15 years full time education is required.<br /><b> Qualification</b> 15 years full time education</li>",0.0,0.0,1.0,3.0
Territory Sales Executive/Sr. Executives,300925916728,INR,3 Days Ago,Satyam Consulting Services,"Territory Sales,B2C sales,marketing activities,Sales,product campaigns,relationship management,sales promotions,market dynamics",2-7 Yrs,Not disclosed,Chennai,3801018,,,"Manage and grow relationships with dealers, distributors, and channel partners. Drive B2C sales through effective dealer/distributor engagement. Execute sales strategies, promotions, and campaigns to achieve business targets.Monitor competitor activities, market trends, and provide feedback to management. Ensure achievement of sales targets and timely collection of payments.",0.0,0.0,2.0,7.0
Application Tech Support Practitioner,290925923788,INR,4 Days Ago,Accenture,"client relationship management,service desk,service desk management,incident management,voice support,international bpo,customer service,customer support",0-2 Yrs,Not disclosed,Pune,27117,66726.0,3.7,"Educational Qualification : 15 years full time education. Summary :As an Application Tech Support Practitioner,you will serve as a vital link between clients and the systems or applications they utilize<br><br> Must have skills : Service Desk Management,Service Desk Voice Support<br><br>Skills:  - . Must To Have . <br><br>Skills: Proficiency in Service Desk Management.- Good To Have .",0.0,0.0,0.0,2.0
"Sr Executive, Product Surveillance",300925502575,INR,3 Days Ago,Vantive,"Due diligence,Regulatory reporting,Senior Executive,Finance,Focus,CMS,Investigation,Management",2-5 Yrs,Not disclosed,Gurugram,124651394,92.0,4.6,"<div> </div> <div> </div> <ul> <li> Daily review of the open complaints to ensure on-time complaint closure meeting KPIs </li> <li> Coordinating with country Quality team for updating Due Diligence information, updates of Complaint Management System (CMS) for sample tracking details, customer letters. If required, coordinate with Mfg. sites for timely investigation. </li> <li> Review of the complaints to ensure it meets procedural requirements. </li> <li> Log in complaints in Trackwise- Complaint Management System (CMS) when needed within defined timelines and processing till final closure. </li> <li> Coordination with Quality Engineers and Technical Service team for Service-related complaints. </li> <li> Evaluating complaints to determine regulatory reporting applicability. </li> <li> Providing support for the preparation of Management Reviews from complaints perspective. </li> <li> Supporting country team and manufacturing team with requested complaint data and reports. </li> <li> Preparing and sharing weekly reports for APAC complaints and pending Due Diligence </li> </ul> <div> </div> <div> </div> <div> </div> <div> </div> <div> <br /> <br /> </div>",0.0,0.0,2.0,5.0
Manager Formulation development,230925506445,INR,10 Days Ago,Purplle.com,"pharmaceutical,npd,personal care,skin care,product development,regulatory,hair care,cosmetics",3-7 Yrs,Not disclosed,Mumbai,2254412,388.0,3.6,"Beyond hosting third-party brands,Purplle has successfully scaled its own D2C powerhouses?FACES CANADA,Good Vibes,Carmesi,Purplle,and NY Bae?offering trend-driven,high-quality beauty essentials. What sets Purplle apart is its technology driven hyper-personalized shopping experience",0.0,0.0,3.0,7.0
